Incubation_Center,Name_of_startup,Location of company,Sector,City,State
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Chainworks Digital Private Limited,"Mumbai, Maharashtra",Healthcare,Mumbai,Maharashtra
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Whiteowl Healthcare Private Limited,"Hyderabad, Telangana",Healthcare,Hyderabad,Telangana
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Faucet Labs Private Limited,"Delhi, Delhi",FinTech,Delhi,Delhi
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Develop Train Maintain Llp,Ulhasnagar,CleanTech,Ulhasnagar,
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Incorporation yet to be done,,EduTech,,
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Cre-Aid Labs Pvt Ltd,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Mclabs Pvt Ltd,"Mumbai, Maharashtra",Communications,Mumbai,Maharashtra
SR Foundation (SR Innovation Exchange),MHfictio Creations PVT LTD,Warangal,ICT & IoT,Warangal,Telangana
SR Foundation (SR Innovation Exchange),Varaha Innovation Studios and Technologies Pvt Ltd,"Hyderabad, Telangana",RetailTech,Hyderabad,Telangana
SR Foundation (SR Innovation Exchange),GARUDAASTRA Aeroinventive Solutions Private Limited,"Begumpet, Hyderabad, Telangana",Aerospace and Defense,Begumpet,"Hyderabad, Telangana"
SR Foundation (SR Innovation Exchange),Cloudchip Technologies Private Limited,"Hyderabad, Telangana",Information and Communication Technology,Hyderabad,Telangana
SR Foundation (SR Innovation Exchange),Viben QR Innovations,Warangal,Services,Warangal,Telangana
SR Foundation (SR Innovation Exchange),WarrantyMe,"Hyderabad, Telangana",Retail tech,Hyderabad,Telangana
SR Foundation (SR Innovation Exchange),Youcode Intelligence Solutions,"Chennai, Tamilnadu",EDTECH,Chennai,Tamilnadu
STEP - TIET Patiala,Monsys IoT,Patiala,Electronics and Waste water,Patiala,
STEP - TIET Patiala,Cruxeware Technologies LLP,"Saharanpur, Uttar Pradesh",Technology(AI),Saharanpur,Uttar Pradesh
